acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction,trainable
0.8677,0.091,0.5252,-0.0496,1.2068,-0.0324,118.942,306.4127,5.9023,down,train
0.7928,0.1224,0.5988,-0.3266,1.2034,0.1267,121.3049,315.4414,3.8133,down,train
0.5276,0.0524,0.802,-0.1763,1.3534,0.0913,124.9968,333.934,0.0912,down,train
0.2541,0.0284,0.9395,-0.1562,1.1017,0.0531,126.0081,348.2688,359.0884,down,train
0.0267,-0.0039,0.9714,-0.0551,0.9135,-0.0193,126.4617,0.8851,359.1945,down,train
-0.0723,-0.007,1.0014,0.0614,-0.0637,-0.0415,127.1922,3.9659,358.0977,down,train
-0.0481,0.009,0.9643,-0.0422,-0.5173,-0.1288,127.0197,357.9171,358.6158,down,train
0.0839,-0.0367,1.0323,0.3088,-1.261,-0.367,125.9629,346.7535,357.4812,down,train
0.2599,0.0325,0.9297,0.255,-1.145,-0.1572,124.5612,337.3581,1.0695,down,train
0.4439,0.093,0.8651,-0.1228,-1.3187,-0.2091,123.5483,325.1576,1.9624,down,train
0.6435,0.0503,0.7635,0.5268,-1.9327,-0.0463,123.1676,310.6904,5.5244,down,train
0.8357,0.1452,0.533,0.2196,-1.1911,-0.1514,115.4816,298.5233,13.4838,down,train
0.9063,0.143,0.3828,-0.0669,-0.5686,0.1415,113.9358,291.8221,14.5581,down,train
0.9567,0.1134,0.29,-0.1165,-0.0503,0.0601,113.9145,288.8173,10.8497,down,train
0.9152,0.117,0.3604,-0.1761,1.6198,0.3967,122.4805,304.0415,1.5082,down,train
0.7698,0.0947,0.6699,-0.1135,1.2679,-0.0859,120.7564,321.0696,1.0104,down,train
0.4883,0.0085,0.8659,-0.1865,1.8494,0.3634,124.7848,345.1808,354.6344,down,train
0.1709,0.0078,0.9838,0.4354,1.7007,0.1564,126.5674,7.7652,0.3137,down,train
-0.0684,0.0439,0.9899,-0.0961,0.2194,0.0256,127.4855,11.7095,359.6731,down,train
-0.1209,0.0369,0.9945,0.1141,-0.3933,-0.0917,127.7077,8.9586,0.1513,down,train
0.135,0.0478,0.9589,-0.0765,-1.3051,-0.0538,128.6267,351.1209,359.6859,down,train
0.4095,0.0813,0.8863,0.0368,-1.641,-0.245,125.4487,332.0272,2.3375,down,train
0.6384,0.1321,0.7516,0.5148,-1.3536,0.1655,124.2974,314.1217,7.9492,down,train
0.7913,0.127,0.5444,-0.1483,-1.0937,-0.1451,116.3584,300.152,14.9131,down,train
0.8968,0.0634,0.4104,0.0059,-0.9498,-0.128,110.1485,291.258,19.8163,down,train
0.9458,0.1102,0.2639,-0.0274,-0.4266,0.1481,106.1836,285.0283,21.5175,down,train
0.9698,0.1034,0.1945,-0.0168,0.0095,0.0322,105.6929,283.2829,21.29,down,train
0.8866,-0.0159,0.5081,-0.026,0.6793,0.1071,119.468,299.0767,2.5566,down,train
0.769,0.018,0.6095,0.1509,0.9457,0.0426,119.9342,311.2086,2.6717,down,train
0.5617,0.0568,0.7854,-0.1485,1.7022,0.3486,122.1124,330.8886,2.6357,down,train
0.2975,-0.0169,0.9229,0.0495,1.1683,0.0231,124.5858,345.2479,1.7512,down,train
0.0422,0.0813,0.9994,-0.0767,0.7013,0.2427,127.241,356.0551,3.4529,down,train
-0.0035,0.0097,0.9996,-0.0681,-0.3246,-0.0551,128.4048,355.4376,1.6982,down,train
0.1731,0.043,0.9256,0.0849,-0.4786,-0.188,127.0022,346.649,3.6468,down,train
0.3586,0.052,0.9251,0.0018,-1.3078,-0.1071,127.2285,334.4525,4.2987,down,train
0.5385,0.0719,0.8456,-0.0214,-0.9105,0.0243,126.4278,323.7668,4.084,down,train
0.7751,0.1044,0.6555,0.0168,-0.8927,-0.0035,124.4436,311.8726,4.9569,down,train
0.8641,0.0957,0.4833,-0.1332,-0.9486,0.1672,123.7985,299.8668,3.9171,down,train
0.9162,0.083,0.3219,-0.0651,-0.9306,0.0246,118.721,286.7292,6.8802,down,train
1.0209,0.0653,0.1547,-0.0029,-0.0727,-0.0144,116.1992,283.4469,8.9458,down,train
0.94,0.049,0.291,-0.0503,1.404,0.4116,126.0682,297.277,358.2682,down,train
0.8697,-0.0118,0.4728,0.25,1.05,0.0671,124.6443,308.6343,1.8428,down,train
0.707,0.0029,0.7428,0.0554,1.1099,0.218,128.0405,321.8049,359.6113,down,train
