acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
-0.0819,-0.2673,1.0335,1.3505,-0.516,-0.9867,128.4771,355.2886,341.9241,punching
0.8684,0.5786,0.5006,-1.0753,1.0686,1.7384,126.2254,345.23,347.2233,punching
0.8265,-0.0538,0.8627,0.7442,0.8044,-1.0331,122.3938,346.998,349.8888,punching
-0.2461,0.252,0.7637,-0.4272,1.1205,0.9531,107.3879,356.5757,0.9029,punching
-0.9311,-0.1339,0.9397,-0.0863,1.6728,-0.403,113.9184,9.9075,0.982,punching
-0.6578,0.1564,0.8659,-0.5671,-1.1171,0.5668,117.2941,4.7469,356.9608,punching
-0.0032,0.2399,0.9224,-0.6486,-0.7154,-0.0209,111.8211,351.8342,1.6076,punching
0.9441,-0.6945,0.8254,0.8162,-0.5651,-1.1873,105.6387,343.0519,6.1272,punching
0.5341,0.0524,0.8249,0.3822,0.5527,-0.5114,103.6067,346.4609,10.5444,punching
-0.1614,0.2595,0.8366,-0.2112,1.1948,0.1065,98.6651,358.3913,9.4332,punching
-0.7161,-0.0415,0.8069,-0.0106,1.1077,-0.2683,99.3392,9.4417,8.4869,punching
-0.8647,-0.2137,0.7869,0.2475,-1.6901,0.5036,104.2268,3.2208,9.0413,punching
-0.5008,-0.199,0.9165,0.3114,-1.753,-0.5765,105.5219,352.5557,3.6136,punching
0.6689,0.4229,0.5668,-0.2479,0.1056,1.1651,111.2189,340.6954,4.328,punching
0.8699,-0.1457,0.9848,0.0768,0.7152,-0.5584,108.7291,342.0583,4.8252,punching
0.593,-0.1315,1.0996,0.3538,0.8172,-1.7056,102.7752,342.3657,8.6959,punching
-0.6423,-0.0839,0.7849,-0.4036,0.9525,1.7399,113.77,356.1781,0.0783,punching
-1.0789,-0.3614,0.8235,0.1141,-0.8287,0.6211,125.1488,356.5777,354.6782,punching
-0.3384,-0.0924,0.9477,0.8248,-0.5752,-1.0529,125.2802,351.9158,354.9553,punching
-0.3039,0.0986,0.7525,-0.3957,-1.4201,0.9159,122.9081,347.0361,354.3559,punching
1.3599,0.5771,0.7028,-0.8697,0.5106,0.856,122.1382,332.3015,7.964,punching
0.6398,0.1039,0.9192,0.0389,0.7925,-0.9518,121.6422,335.1899,4.985,punching
0.0863,-0.2786,1.1841,0.0915,1.3511,-0.8962,121.7257,348.1916,0.0638,punching
-0.9898,0.2202,0.676,-0.2751,0.5362,1.0029,121.2264,1.4321,1.0892,punching
-0.5929,-0.0306,0.8298,0.0927,-0.7954,-0.1614,121.072,357.7845,1.1547,punching
-0.1506,0.1297,0.8505,-0.4342,-0.8364,-0.0899,121.7646,348.5238,2.8879,punching
0.1813,-0.0253,0.9066,-0.5622,-1.3709,1.4965,116.699,340.858,13.438,punching
1.181,-0.289,1.1987,0.5279,0.17,-1.1372,121.9032,336.4463,6.4127,punching
0.1152,0.2552,0.8912,-0.5393,-0.0099,0.2415,113.2779,342.4418,8.4836,punching
-0.3927,-0.1385,0.7845,0.9549,0.7971,-0.3987,112.8381,354.2277,11.2501,punching
-1.0175,-0.2726,0.8203,-0.0811,0.0121,0.4675,111.7101,3.2936,10.289,punching
-0.5361,-0.0027,0.8429,0.885,-1.4897,-0.7683,106.4078,356.7679,15.3694,punching
0.112,0.4504,0.6802,0.7692,0.4141,1.7167,105.7627,346.0347,15.3859,punching
1.5424,0.1224,1.0165,-0.4675,-0.1739,-1.5636,99.6305,340.7799,21.3989,punching
0.6182,0.0993,0.968,-0.8209,0.3902,-0.4595,96.3462,344.1218,16.3306,punching
-0.0703,-0.2444,0.9862,-0.7311,1.4895,0.1199,100.5288,356.4738,7.732,punching
-1.0905,0.0078,0.8149,-0.1236,0.4632,0.4244,105.837,3.859,5.6558,punching
-0.4939,0.0005,1.0082,0.1244,-1.1797,-0.2261,106.376,358.7749,5.593,punching
0.2958,0.1903,0.725,-1.5313,-0.1275,1.0967,102.7592,347.0426,5.3991,punching
0.6224,0.2413,1.0116,-0.1245,0.0488,0.0851,104.9451,345.5779,11.675,punching
0.658,-0.0625,0.9141,0.1596,0.3628,-0.4821,104.5236,344.0931,12.7749,punching
0.13,0.2671,0.9626,-0.1706,0.5347,0.4211,106.0597,346.4527,13.3491,punching
-0.8131,-0.1614,0.9999,0.6131,0.8075,-1.3516,110.3398,355.2391,6.8134,punching
-0.4117,0.0537,0.9153,0.0325,-0.7258,-0.082,104.8448,354.393,11.2039,punching
-0.3048,-0.2868,1.0296,1.3346,-1.4179,-0.6989,107.064,350.9408,7.6774,punching
0.154,0.2042,0.7235,-0.2604,0.4727,0.8093,105.5553,347.872,7.0603,punching
0.8694,-0.008,1.0396,0.2393,-0.2218,-0.7527,107.2144,344.2079,8.7986,punching
0.6064,-0.0077,0.9087,-0.3343,0.2137,-0.0459,107.1992,343.3298,9.1895,punching
-0.0963,-0.1073,0.9565,-0.1355,1.2158,-0.2044,107.9696,354.1678,7.9494,punching
-0.9242,-0.2103,0.7901,-0.181,0.2329,0.1444,109.6398,3.3781,4.9102,punching
-0.5877,-0.0347,0.8481,0.2084,-0.9408,0.3307,113.0524,2.4649,2.1546,punching
0.0053,0.0415,0.8105,-0.6171,-0.1947,0.6804,116.1255,352.3652,3.3686,punching
0.9977,-0.2605,1.2516,0.9482,-0.3492,-0.6901,113.456,353.1174,4.2437,punching
0.4253,-0.0116,0.9782,-0.1993,-0.4781,-0.1724,111.3041,351.9136,3.3878,punching
0.208,-0.0268,0.7189,-0.148,1.4999,0.0894,112.7529,1.1964,358.2284,punching
-0.8022,-0.0839,0.9826,0.2032,0.6257,-0.3025,110.4461,8.2458,2.5978,punching
-0.5823,0.0658,0.8629,-0.2491,-0.8611,0.1948,114.3346,6.0845,1.9767,punching
-0.3118,-0.0058,0.7927,1.0001,-0.7411,-1.1705,111.0801,1.1609,355.6415,punching
1.0447,0.4579,0.6573,-0.5109,0.2998,1.2592,104.8281,353.4408,7.591,punching
0.5838,0.2729,0.8415,-1.2005,0.6193,0.5344,110.2616,355.3258,359.3758,punching
